file,2theta_deg,intensity,FWHM_deg,prom_log10
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.05,305.635,0.1599999999999966,0.045399882539139354
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.14,305.863,0.0899999999999963,0.04854193635960927
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.23,299.174,0.05999999999999517,0.03574700922305202
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.32,299.556,0.10999999999999943,0.03022257662854049
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.45,297.026,0.13000000000000256,0.03049780185487492
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.51,298.73,0.11999999999999744,0.036465197866262476
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.6,309.446,0.14000000000000057,0.05217147560449337
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.68,300.933,0.1599999999999966,0.03878761536083185
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.91,303.025,0.20000000000000284,0.04151866812919456
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,37.03,295.822,0.21000000000000085,0.03676487305556905
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,37.12,292.511,0.5200000000000031,0.03250394139483712
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,37.35,289.611,0.5100000000000051,0.0334916518638584
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,37.58,285.888,0.3500000000000014,0.03289069863222106
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,37.69,287.665,0.21999999999999886,0.033156651523473614
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,37.85,298.451,0.10999999999999943,0.043639583940985896
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,38.08,291.43,0.20000000000000284,0.03377906155889919
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,38.66,398.502,0.240000000000002,0.061702417187111
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,38.77,410.934,0.19999999999999574,0.08449629508059235
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,39.06,301.459,0.10999999999999943,0.037809053406476424
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,39.31,266.631,0.0799999999999983,0.030675708164271533
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,39.45,267.865,0.259999999999998,0.040505459012672225
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,39.54,270.609,0.19000000000000483,0.04864251762361968
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,39.8,257.796,0.3100000000000023,0.03491837612531229
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,39.88,262.641,0.22999999999999687,0.040998631065671254
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,39.97,259.623,0.22999999999999687,0.037997851380332445
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,40.08,257.604,0.0799999999999983,0.03158839342144756
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,40.4,261.005,0.10999999999999943,0.04635263368011755
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,40.72,262.747,0.14000000000000057,0.06561990516385485
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,40.97,252.844,0.14999999999999858,0.03725928630583428
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,41.03,248.927,0.14000000000000057,0.037509253623444115
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,41.21,249.502,0.10000000000000142,0.04901866197429228
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,41.45,251.202,0.13000000000000256,0.05091157905335893
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,41.62,246.635,0.0899999999999963,0.049456045189037984
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,41.8,240.839,0.05999999999999517,0.03479559096133929
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,41.9,243.47,0.1600000000000037,0.045183079841739596
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,41.99,234.078,0.17999999999999972,0.03085984889329324
