X Coordinates,Y Coordinates,FWHM
-40.0,0.0,0.2883162040409504
-36.039,-17.355,0.304783543561224
-36.039,17.355,0.3082875734517742
-30.0,0.0,0.32051413558209924
-27.029,-13.017,0.3294577922848233
-27.029,13.017,0.3338639502327067
-24.94,-31.273,0.3375916935661195
-24.94,31.273,0.3356654890716449
-20.0,0.0,0.3377770115707671
-18.705,-23.455,0.3452571107234553
-18.705,23.455,0.34171123783329677
-18.019,-8.678,0.3431814709815149
-18.019,8.678,0.34302411452984194
-12.47,-15.637,0.342687935765873
-12.47,15.637,0.3431016948441742
-10.0,0.0,0.35413551061895315
-9.01,-4.339,0.3495953115821209
-9.01,4.339,0.345689204983654
-8.901,-38.997,0.3511511094726183
-8.901,38.997,0.3525820824349897
-6.676,-29.248,0.3510067659409751
-6.676,29.248,0.34459311376704066
-6.235,-7.818,0.3539153480858279
-6.235,7.818,0.3460775066484974
-4.45,-19.499,0.34690548175013086
-4.45,19.499,0.34260237767031354
-2.225,-9.749,0.34806245359699445
-2.225,9.749,0.34158769126583577
0.0,0.0,0.3469495807414142
2.225,-9.749,0.34569992384635956
2.225,9.749,0.3481259480179877
4.45,-19.499,0.35127401471009995
4.45,19.499,0.342844265959432
6.235,-7.818,0.3414784097433016
6.235,7.818,0.3485986840798771
6.676,-29.248,0.3499295314029487
6.676,29.248,0.34279094257316817
8.901,-38.997,0.342377903131117
8.901,38.997,0.33744502876753985
9.01,-4.339,0.3385227543107989
9.01,4.339,0.34330344116189415
10.0,0.0,0.3397348600781873
12.47,-15.637,0.34489631200243714
12.47,15.637,0.33990144618748214
18.019,-8.678,0.33873034328662993
18.019,8.678,0.3394099551492129
18.705,-23.455,0.3428040534932134
18.705,23.455,0.33917581082506587
20.0,0.0,0.34109082549576547
24.94,-31.273,0.34966507540288855
24.94,31.273,0.3427789664985227
27.029,-13.017,0.34916148882165415
27.029,13.017,0.35384932619487136
30.0,0.0,0.35009469127678233
36.039,-17.355,0.35349869593061467
36.039,17.355,0.35010471742439253
40.0,0.0,0.35308187398319407
