X Coordinates,Y Coordinates,FWHM
-39.126,-8.316,0.3638088331604158
-39.126,8.316,0.35941238348472715
-32.361,-23.511,0.3586919063320293
-32.361,23.511,0.35820189355749876
-29.344,-6.237,0.3579356382693386
-29.344,6.237,0.36166121732131173
-24.271,-17.634,0.35681071983874313
-24.271,17.634,0.34336410633428227
-20.0,-34.641,0.3544189088329551
-20.0,34.641,0.3754514788278253
-19.563,-4.158,0.3483994410686106
-19.563,4.158,0.35069423870177624
-16.18,-11.756,0.35552453479324714
-16.18,11.756,0.35384255581533414
-15.0,-25.981,0.3625003067065718
-15.0,25.981,0.3630475437005463
-10.0,-17.321,0.3684897153334049
-10.0,17.321,0.38693643035942593
-9.781,-2.079,0.3695328378865211
-9.781,2.079,0.36209648487703155
-8.09,-5.878,0.3496063980184511
-8.09,5.878,0.36724491707672113
-5.0,-8.66,0.3626307080281619
-5.0,8.66,0.3830986519250843
-4.181,-39.781,0.36795014495642686
-4.181,39.781,0.3654257871826026
-3.136,-29.836,0.3593780965210643
-3.136,29.836,0.36955051255013877
-2.091,-19.89,0.37432522874154
-2.091,19.89,0.3722927782212376
-1.045,-9.945,0.3717177486891961
-1.045,9.945,0.3647703959252617
0.0,0.0,0.374894712773122
3.09,-9.511,0.3676136463670412
3.09,9.511,0.383307954012489
6.18,-19.021,0.3961618269699825
6.18,19.021,0.393374198978871
6.691,-7.431,0.3826604650422385
6.691,7.431,0.3933637256402222
9.135,-4.067,0.3873467688532378
9.135,4.067,0.38287196719860916
9.271,-28.532,0.3916257524514665
9.271,28.532,0.4017750298173
10.0,0.0,0.392636035437219
12.361,-38.042,0.39639142164562585
12.361,38.042,0.4009772041431354
13.383,-14.863,0.3906642643825644
13.383,14.863,0.41093103372169465
18.271,-8.135,0.3944754220969996
18.271,8.135,0.4081461357308517
20.0,0.0,0.3991072656865123
20.074,-22.294,0.394939375142804
20.074,22.294,0.41731952866348254
26.765,-29.726,0.39851404571520255
26.765,29.726,0.4014687082485107
27.406,-12.202,0.4195256380306757
27.406,12.202,0.40170870065011854
30.0,0.0,0.42518706101340636
36.542,-16.269,0.3982303541773166
36.542,16.269,0.42560905355765344
40.0,0.0,0.4294496235327866
