file,2theta_deg,intensity_lin,FWHM_deg
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,22.12,647.4978479895295,0.3515941827106019
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,23.86,497.49065871199,0.14505766550524413
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,24.43,491.5903154625622,0.1345121634684307
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,25.94,462.1890882641318,0.23177695802081758
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,27.1,446.2095838509251,0.34425261920411004
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,28.66,428.474166067336,0.12192575235043591
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,29.18,410.7720895717494,0.13394617387048244
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,31.42,2251.5618852565867,0.33548020845923704
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,32.4,371.585176855176,0.1277918998841187
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,32.78,356.0571971232377,0.14452206458578531
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,34.75,322.0743929388642,0.13332877555006234
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,35.52,314.36061588754035,0.3915187355046601
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.1,301.5741055900577,0.1433099594731425
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,36.64,305.73657665903437,0.16276251783396675
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,38.77,395.81894704151097,0.32882006381505335
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,39.49,269.01328244523955,0.17154205236445477
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,41.93,237.69524615887195,0.1526618557754
