X Coordinates,Y Coordinates,FWHM
-39.126,-8.316,0.3128150751158144
-39.126,8.316,0.3209064006530643
-32.361,-23.511,0.30577855799664083
-32.361,23.511,0.3369517779061703
-29.344,-6.237,0.30643323115529525
-29.344,6.237,0.3139837019296164
-24.271,-17.634,0.30179325319937716
-24.271,17.634,0.3223317307108751
-20.0,-34.641,0.3086847399184722
-20.0,34.641,0.3505038407668773
-19.563,-4.158,0.30141316572864163
-19.563,4.158,0.31531084697368966
-16.18,-11.756,0.3064197083139098
-16.18,11.756,0.30706798517366873
-15.0,-25.981,0.3084507626818104
-15.0,25.981,0.33183139725732447
-10.0,-17.321,0.3101561611248985
-10.0,17.321,0.31486840354094187
-9.781,-2.079,0.3106429149045035
-9.781,2.079,0.3069246201293724
-8.09,-5.878,0.30707583896141427
-8.09,5.878,0.31009307380921886
-5.0,-8.66,0.3083797804654926
-5.0,8.66,0.30917123795885887
-4.181,-39.781,0.3287119263320573
-4.181,39.781,0.34119388852300847
-3.136,-29.836,0.315286067354492
-3.136,29.836,0.3239501959312255
-2.091,-19.89,0.3119236530356543
-2.091,19.89,0.3150980781535696
-1.045,-9.945,0.30779333378289286
-1.045,9.945,0.3057618593902892
0.0,0.0,0.30730654097967075
3.09,-9.511,0.30958520592497374
3.09,9.511,0.3061141234343712
6.18,-19.021,0.3056466213460084
6.18,19.021,0.3156069053910763
6.691,-7.431,0.3071827757232499
6.691,7.431,0.3038052218128071
9.135,-4.067,0.3071564011388541
9.135,4.067,0.30644146685161305
9.271,-28.532,0.3262817379723667
9.271,28.532,0.3222369306987617
10.0,0.0,0.3091013269986213
12.361,-38.042,0.31913140529587736
12.361,38.042,0.3384575160074215
13.383,-14.863,0.30988363656992035
13.383,14.863,0.3140806906492828
18.271,-8.135,0.31239406297830336
18.271,8.135,0.30685406101346835
20.0,0.0,0.306198551284063
20.074,-22.294,0.3204104426618091
20.074,22.294,0.3173550261090465
26.765,-29.726,0.3262019854084977
26.765,29.726,0.31918433532783413
27.406,-12.202,0.3093150373599487
27.406,12.202,0.3109556229381565
30.0,0.0,0.3110192914113442
36.542,-16.269,0.30781419890748174
36.542,16.269,0.31060520731522073
40.0,0.0,0.31330279371345565
